timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:52,28.95,-9.728,-3.648,-1.53,10.502,6.063,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:55:58,29.03,-9.728,-3.648,-1.491,10.496,6.06,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:04,28.97,-9.689,-3.648,-1.608,10.477,6.049,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:09,28.77,-9.728,-3.687,-1.608,10.527,6.078,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:13,29.17,-9.767,-3.609,-1.608,10.536,6.083,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:23,28.91,-9.767,-3.609,-1.569,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:27,30.87,-9.728,-3.648,-1.412,10.485,6.054,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:44,31.27,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:50,29.71,-9.767,-3.648,-1.569,10.544,6.088,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:56:54,30.91,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:57:03,30.81,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:19,29.55,-9.689,-3.687,-1.491,10.474,6.047,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:31,29.65,-9.728,-3.648,-1.569,10.508,6.067,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:36,29.83,-9.689,-3.648,-1.53,10.465,6.042,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:40,29.85,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:44,29.63,-9.767,-3.648,-1.608,10.55,6.091,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:50,29.85,-9.728,-3.727,-1.569,10.535,6.082,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:58:56,29.83,-9.767,-3.727,-1.53,10.566,6.1,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:59:05,29.59,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:59:11,29.91,-9.689,-3.687,-1.608,10.491,6.057,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:59:16,29.79,-9.689,-3.687,-1.53,10.479,6.05,,,,,,,,,,,,,,,,,,,,,
3-3-2026 14:59:20,29.97,-9.689,-3.727,-1.569,10.499,6.061,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:06,32.19,-9.767,-3.648,-1.648,10.556,6.094,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:09,32.21,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:17,32.25,-9.689,-3.962,-1.53,10.579,6.108,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:21,32.27,-9.885,-3.491,-1.648,10.612,6.127,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:29,32.27,-9.532,-3.177,-1.687,10.188,5.882,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:33,32.25,-9.218,-3.766,-1.491,10.069,5.813,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:39,32.25,-9.885,-3.491,-1.648,10.612,6.127,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:45,32.25,-9.964,-3.883,-1.373,10.781,6.225,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:51,31.05,-9.571,-3.727,-1.569,10.39,5.999,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:00:57,30.51,-9.689,-3.53,-1.608,10.437,6.026,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:01,31.11,-9.571,-3.727,-1.687,10.409,6.009,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:07,31.07,-9.414,-3.609,-1.491,10.192,5.884,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:14,31.07,-9.728,-3.57,-1.569,10.481,6.051,,,,,,,,,,,,,,,,,,,,,
